[ 2019-08-31T09:05:50+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2019-08-31T10:53:42+08:00 ] /abcTest/admin.php/Index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001396s ]
[ 2019-08-31T10:53:42+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001565s ]
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | INFO: Tag[ route_check ] --START--
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | INFO: Run CheckRoute Behavior [ RunTime:0.001704s ]
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001908s ]
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | INFO: Tag[ app_begin ] --START--
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001305s ]
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001468s ]
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8] Use of undefined constant Right - assumed 'Right' ManageRightAction.class.php 第 4 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | SQL: SHOW COLUMNS FROM `t_right` [ RunTime:0.000902s ]
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | SQL: SELECT	t.userId,t.userName,	
        GROUP_CONCAT(u.rules) as rules 
        FROM 
         t_role t,t_right r,t_rightrules u  where t.userRole=r.userRole and
          r.userRight=u.userRight GROUP BY	t.userId [ RunTime:0.000785s ]
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | INFO: Tag[ view_template ] --START--
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | INFO: Run LocationTemplate Behavior [ RunTime:0.002484s ]
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.002686s ]
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | INFO: Tag[ view_parse ] --START--
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-31T10:53:44+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
